web-scraper-order,web-scraper-start-url,Título,Canon,Área,Habitaciones,Dirección
"1697825531-25","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Oficina En Arrendar En Bogotá D.c.","9.533.150","173 m² cubiertos","","Aeropuerto Eldorado, Fontibón, Bogotá D.c."
"1697825531-26","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En El Barrio Versalles","1.400.000","76 m² cubiertos","3 habs.","Manizales, Caldas"
"1697825531-27","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Amoblado X  Días, Semana, Meses, Y Años","99.999","60 m² cubiertos","2 habs.","Cra. 69b #24-39, Bogotá, Colombia, Salitre Nor - Occidental, Fontibón, Bogotá D.c."
"1697825531-28","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Vendo Penthouse Mazuren Bogota","1.550.000.000","380 m² cubiertos","4 habs.","La Colina Campestre, Suba, Bogotá D.c."
"1697825531-29","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Oficina En Arrendar En Bogotá D.c.","67.405.000","1.037 m² cubiertos","","Santa Bárbara, Usaquén, Bogotá D.c."
"1697825531-30","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Oficina En Arrendar En Bogotá D.c.","19.000.000","357 m² cubiertos","","Usaquén, Bogotá D.c."
"1697825531-31","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En Villa Pila, Manizales","1.050.000","67 m² cubiertos","","Manizales, Caldas"
"1697825531-32","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En  La Argentina Manizales","1.250.000","77 m² cubiertos","2 habs.","Manizales, Caldas"
"1697825531-33","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Se Vende Hermoso Apartamento","210.000.000","55 m² cubiertos","3 habs.","Calle 186c Bis #15-69, Bogotá, Colombia, El Toberín, Usaquén, Bogotá D.c."
"1697825531-34","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Casa 2 Pisos Para Proyecto O Arrendar","360.000.000","180 ha totales","","Cra 86  87-57, La Gaitana, Suba, Bogotá D.c."
"1697825531-35","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Casa Comercial Para Arrendar En Belén, Manizales","2.800.000","150 m² cubiertos","4 habs.","Manizales, Caldas"
"1697825531-36","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En El Barrio Versalles","1.400.000","60 m² cubiertos","3 habs.","Manizales, Caldas"
"1697825531-37","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Vendo Lindo Apartamento En San Cristobal Sur","160.000.000","50 m² cubiertos","3 habs.","Diagonal 15 B Sur  11, San Cristóbal Sur, San Cristobal Sur, Bogotá D.c."
"1697825531-38","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Villa Elisa, Suba","160.000.000","58 m² cubiertos","3 habs.","Calle 135a #92a-19, Bogotá, Colombia, Villa Elisa, Suba, Bogotá D.c."
"1697825531-39","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En El Sector De Los Cambulos Manizales","1.200.000","52 m² cubiertos","2 habs.","Manizales, Caldas"
"1697825531-40","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En  Los Cedros  Manizales","1.250.000","77 m² cubiertos","2 habs.","Manizales, Caldas"
"1697825531-41","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Vende Apartamento Dúplex Suba Lombardía","158.990.000","55 m² cubiertos","2 habs.","Calle 142 #112-30, Bogotá, Colombia, Lombardia, Suba, Bogotá D.c."
"1697825531-42","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Alquiler Apartamento Amoblado Temporal Bogotá Días, Semanas","50.000","70 m² cubiertos","2 habs.","Carrera 68g #63c-11, Bogotá, Colombia, Bosque Popular, Engativa, Bogotá D.c."
"1697825531-43","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En La Enea, Manizales","950.000","65 m² cubiertos","2 habs.","Manizales, Caldas"
"1697825531-44","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En La Enea, Manizales","950.000","65 m² cubiertos","2 habs.","Manizales, Caldas"
"1697825531-45","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento En Arriendo Santa Isabel Occidental 1132-2021209247","850.000","45 m² cubiertos","2 habs.","Santa Isabel Occidental, Santa Isabel Occidental, Puente Aranda, Bogotá D.c."
"1697825531-46","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Casa Rentable En Kennedy, Con 4 Apartamentos Pequeños","380.000.000","240 m² cubiertos","5 habs.","Calle 47b Sur #80-74, Casa Blanca, Bogotá, Colombia, El Almenar, Kennedy, Bogotá D.c."
"1697825531-47","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En Robledo","1.350.000","42 m² cubiertos","2 habs.","Carrera 88a  #68-19, Robledo, Medellín, Antioquia"
"1697825531-48","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento Para Arrendar En Altos De Berlin","1.000.000","75 m² cubiertos","3 habs.","Carrera 23 Sur, Ibagué, Tolima, Colombia, Ibagué, Tolima"
"1697825531-49","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Permuto Casa Chia Por Apartamento Bogota","1.250.000.000","281 m² cubiertos","4 habs.","Chia Cundinamarca, Chía, Cundinamarca"
"1697825531-50","https://listado.mercadolibre.com.co/arrendar-apartamentos-bogota#D[A:arrendar%20apartamentos%20bogota]","Apartamento En Arriendo Rincon De Santa Ines 1132-2021205440","950.000","55 m² cubiertos","3 habs.","Rincon De Santa Ines, Rincón De Santa Inés, Suba, Bogotá D.c."
