web-scraper-order,web-scraper-start-url,rank,Youtuber,subscribers,video views,video count,category,started
"1699959846-41","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","41","Maluma - Topic","164,000","1,671,847,877","266","Music","2013"
"1699959846-42","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","42","Jhonny Rivera","2,150,000","1,618,778,149","322","Entertainment","2008"
"1699959846-43","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","43","Jeison Giraldo","7,920,000","1,580,377,321","829","People & Blogs","2017"
"1699959846-44","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","44","PANDA","11,900,000","1,527,715,671","251","Comedy","2015"
"1699959846-45","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","45","LOS MONTAÑEROS","2,680,000","1,388,764,789","598","Comedy","2012"
"1699959846-46","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","46","Amara Que Linda","14,800,000","1,305,335,957","469","People & Blogs","2014"
"1699959846-47","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","47","Felipe Peláez","1,470,000","1,297,145,433","328","Music","2008"
"1699959846-48","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","48","Reykon","2,340,000","1,275,378,434","162","Music","2011"
"1699959846-49","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","49","Generación 12","2,180,000","1,256,219,262","698","Music","2007"
"1699959846-50","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","50","MrStiven Tc","10,500,000","1,248,287,846","1,623","Gaming","2016"
"1699959846-51","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","51","EL TIEMPO","2,210,000","1,184,819,919","46,370","Entertainment","2011"
"1699959846-52","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","52","EDWIN DIAZTO","2,070,000","1,170,407,167","420","Entertainment","2015"
"1699959846-53","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","53","Ñejo","2,630,000","1,150,407,968","146","Music","2014"
"1699959846-54","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","54","BUFF Academy","6,510,000","1,131,462,484","432","Sports","2013"
"1699959846-55","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","55","Telepurte","2,550,000","1,026,337,026","564","Film & Animation","2008"
"1699959846-56","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","56","LuisAlbertoPosadaOficial","1,080,000","1,024,971,742","421","Music","2014"
"1699959846-57","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","57","Jonfer y Valentina ceron","2,470,000","1,024,378,793","263","People & Blogs","2020"
"1699959846-58","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","58","Paulettee","6,970,000","990,438,177","999","Entertainment","2014"
"1699959846-59","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","59","Jhon Alex Castaño","1,110,000","977,232,750","72","Music","2010"
"1699959846-60","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","60","Felipe Charry","2,300,000","966,097,508","537","","2013"
"1699959846-61","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","61","Yelsid","1,130,000","963,818,979","205","Music","2009"
"1699959846-62","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","62","YZ Games","1,950,000","962,960,260","2,335","Gaming","2015"
"1699959846-63","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","63","Nosotras","909,000","961,198,505","1,277","Howto & Style","2009"
"1699959846-64","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","64","FlexVega","7,260,000","934,064,978","304","Gaming","2016"
"1699959846-65","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","65","Rubio Studios","950,000","930,862,270","1,424","Music","2007"
"1699959846-66","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","66","Pequeños Heroes","1,840,000","922,216,518","106","Education","2016"
"1699959846-67","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","67","Kika Nieto","7,850,000","918,058,154","447","Howto & Style","2011"
"1699959846-68","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","68","Yei Palmezano TV","3,840,000","908,800,078","774","Entertainment","2011"
"1699959846-69","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","69","Pautips","9,060,000","899,604,570","1,009","Film & Animation","2011"
"1699959846-70","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","70","TED SAD","1,720,000","895,674,198","889","People & Blogs","2017"
"1699959846-71","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","71","Kevin Voltro","2,130,000","878,759,365","619","People & Blogs","2017"
"1699959846-72","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","72","Fausto Murillo","6,470,000","873,636,870","2,007","Sports","2011"
"1699959846-73","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","73","Ovy On The Drums","1,250,000","860,546,129","44","Music","2014"
